names,location,max mag,min mag,period
DV    Ser *,184013.0-022303 ,15.7,17.3,23.0639
PW    Dra  ,150728.6+580647 ,10.67,10.9,23.1
V2678 Oph  ,162226.3+000723 ,11,11.26,23.1111
V0657 Lyr  ,183037.3+433553 ,11.39,( 0.16   *),23.1356
V0736 Sgr  ,180708.1-332714 ,13.7,14.6,23.14
V1259 Her  ,172339.8+352757 ,11.4,11.8,23.161
V1219 Her  ,164942.9+222004 ,10.1,10.5,23.1706
VZ    Pup *,073835.2-282959 ,8.92,10.35,23.171
V0395 Aur  ,061622.2+285107 ,7.34,7.43,23.1755
V1178 Her  ,162641.3+335042 ,9.66,9.86,23.1808
V0356 Tel *,183718.6-515433 ,9.64,  9.89 :   ,23.1868
V5500 Sgr  ,180350.9-300152 ,13.76,-0.05,23.2
V5271 Sgr  ,175909.2-290426 ,15.05,-0.15,23.2
V5403 Sgr  ,180258.2-295050 ,13.17,-0.15,23.2
FK    Car *,105356.4-595753 ,13,14.4,23.254
WW    And *,234453.5+454111 ,10.92,-0.67,23.285213
V0774 Cep  ,004825.9+851223 ,16.08,16.12,23.3154
SW    Vel *,084338.7-472411 ,7.44,8.96,23.441
II    Nor  ,162335.5-535514 ,15,16,23.559
V0474 Cyg *,191401.6+490542 ,11.3,12.7,23.65881
V0768 Cep  ,004440.6+851521 ,14.51,14.52,    23.6631      :  
V5496 Sgr  ,180346.6-300227 ,15.2,-0.15,23.7
VZ    Cam  ,073104.5+822441 ,4.8,4.96,23.7
DR    CMi *,072431.4+030328 ,11.08,11.65,23.7704
V0501 Peg  ,220601.0+171038 ,10.8,11,23.8171
V0661 Car *,104400.4-595228 ,8.07,8.28,23.944
V1703 Aql  ,201359.8-005201 ,7.79,-0.03,23.98
V5445 Sgr  ,180320.3-295433 ,14.79,-0.1,24
AS    Gru  ,230038.9-413052 ,9.67,9.9,    24.          :  
PP    Aql *,195246.6+124009 ,11.6,13.4,24.01
V0469 Lac  ,223153.3+363506 ,10.5,10.7,24.04
V5497 Sgr  ,180347.5-300337 ,14.9,-0.1,24.1
V0439 Peg  ,213040.6+220143 ,10.2,10.4,24.135
V0890 Per *,031254.7+502935 ,12,12.55,24.146
V0532 Sco  ,174244.4-394142 ,14.9,16.2,24.147
CC    Lyr *,183357.4+313824 ,11.65,12.45,    24.16        :  
V5272 Sgr  ,175909.3-285800 ,14.36,-0.1,24.2
OU    And  ,234941.0+362531 ,5.87,5.94,    24.2         :  
V0339 Tel  ,193157.1-540955 ,6.8,7.02,24.2
V0656 Car  ,103627.1-621133 ,12.6,13.7,24.22
V     Dor *,045745.1-654230 ,12.62,13.35,24.24
CS    Per *,021112.5+584248 ,13.4,15.1,24.256
V1759 Aql  ,190740.7+041158 ,15.84,16.06,24.2911
V1763 Aql  ,190744.9+041032 ,15.6,15.81,24.3224
TX    Sct *,182814.5-111509 ,12.5,14.5,24.344
V0494 And  ,003633.2+430554 ,11.1,11.55,24.41
IM    Peg *,225302.3+165028 ,5.6,5.85,24.44
V0367 And  ,015109.3+380126 ,7.11,7.45,    24.457       :  
CY    Oph  ,165605.9-282149 ,10.8,11.7,24.5
AI    Phe *,010934.2-461556 ,8.58,9.35,24.592325
V0535 Sco  ,174400.4-432524 ,13.4,15.3,24.68
V0420 Cen *,113950.3-475751 ,9.37,10.6,24.7678
V1227 Tau  ,034544.5+244250 ,11.1,-0.15,24.814
V1110 Cas *,013005.4+734532 ,10.55,10.91,24.85
V1720 Ori  ,053505.0-044913 ,12.83,-0.12,24.87
HN    Peg *,214431.3+144619 ,5.92,5.95,24.9
EY    Lib  ,155553.3-140725 ,16.8,18.5,    24.916        /N
V0602 Aur  ,051043.9+461439 ,11.5,11.7,24.92
RX    Lib *,154200.1-204645 ,11.65,12.78,24.933
W     Boo  ,144325.4+263140 ,4.49,5.4,25
V5214 Sgr  ,175854.0-290351 ,14.13,-0.1,25
V5218 Sgr  ,175854.6-285833 ,12.74,-0.25,25
V5242 Sgr  ,175901.1-290912 ,15.61,-0.2,25
V5189 Sgr  ,175845.9-290749 ,15.65,-0.15,25
V5446 Sgr  ,180320.7-300452 ,15.42,-0.15,25
CY    Eri  ,040554.1-101745 ,6.95,7.2,25
gam   Ret  ,040053.8-620933 ,4.42,4.64,25
FZ    Vir  ,122909.7-022546 ,6.81,6.98,25
AG    Cap  ,214616.3-091633 ,5.9,6.14,    25.          :  
V2510 Cyg  ,194340.5+464003 ,11.1,11.4,25.08
V5305 Sgr  ,175918.5-290047 ,13.44,-0.15,25.1
QT    Cam *,040400.1+623155 ,13.7,14.6,25.25
OU    Cam  ,034235.5+662221 ,11.55,11.8,25.3
V0448 Cam  ,064044.8+732201 ,12.3,12.6,25.4
BE    Tuc *,011658.2-734311 ,13.62,14.65,25.432997
EQ    Car *,104719.8-582813 ,13.5,14.5,25.519
ZZ    Cnc *,075706.9+105905 ,9.4,10.9,25.595
V5457 Sgr  ,180325.3-295948 ,14.7,-0.2,25.7
HK    Lac *,220456.6+471404 ,6.77,7.04,25.83
V1452 Sgr  ,180346.2-300225 ,18,19.2,    25.9         :  
V1510 Oph  ,171026.8-215702 ,17,18.7,25.902
V0436 Per *,015159.3+550851 ,5.49,5.85,25.9359
X     Pup *,073247.0-205435 ,7.82,9.24,25.961
V5477 Sgr  ,180332.3-300444 ,14.61,-0.3,26
LR    Del  ,205502.2+171534 ,7.7,-0.039,26
V5216 Sgr  ,175854.3-290325 ,15.49,-0.2,26
V5285 Sgr  ,175913.3-291410 ,15,-0.15,26
V5260 Sgr  ,175905.9-290734 ,13.7,-0.06,26
AT    CrB  ,160629.6+383756 ,8.58,-0.02,26.02
V2771 Sgr  ,181457.3-304617 ,16.5,17.7,26.06
OT    Per  ,043837.9+474424 ,12.97,13.98,26.091
V0603 Sco *,170534.8-394734 ,13.2,13.8,26.3089
AN    Ari  ,025318.9+120017 ,9.1,9.42,26.4
V5370 Sgr  ,180236.1-300218 ,15.62,-0.2,26.4
AS    Mus *,134440.2-682835 ,14,16.2,26.425
FV    Cha  ,123333.9-822628 ,9.92,10.18,26.5
V1373 Sgr  ,180242.9-301614 ,17.2,17.9,    26.5         :  
V1831 Sgr *,181419.2-311200 ,13.3,14.2,26.58
V1290 Tau  ,035430.2+012419 ,11.7,12.2,26.6
HL    Boo  ,142902.8+110234 ,7.61,-0.03,26.68
GP    Mus *,125344.1-655359 ,12,12.7,26.694
V0415 Cen  ,141319.8-445338 ,12.5,14.3,26.735
V0626 Sgr *,180834.8-345643 ,11.64,12.77,26.745
V0436 And  ,022102.7+425638 ,7.23,7.29,26.87
CQ    Ind *,213103.3-505049 ,8.38,  8.8  :   ,26.921
V0668 Pup *,073321.5-114840 ,12.75,13.5,26.98
V5239 Sgr  ,175900.6-290307 ,14.95,-0.15,27
V5376 Sgr  ,180240.6-300055 ,14.67,-0.15,27
V5291 Sgr  ,175914.5-290853 ,13.54,-0.1,27
V5183 Sgr  ,175843.3-291014 ,15.21,-0.1,27
FY    Car  ,105034.7-623217 ,11,12.5,27
T     Mon *,062513.0+070509 ,5.58,6.62,27.024649
V0454 Aur  ,062203.1+343550 ,7.74,8.17,27.027
V0612 And  ,230935.3+451645 ,12.7,12.95,27.064
CE    CMa *,070248.8-225135 ,12.8,13.4,27.0711
V1326 Her  ,180525.0+175730 ,11.45,( 0.13   *),27.1661
V0708 Sco *,175053.0-343510 ,13.3,14.6,27.178
V0492 Vul  ,194755.4+272256 ,12.1,12.5,27.3
V1180 Sgr *,181157.7-320231 ,12.97,14.5,27.3282
V0880 Cep *,222459.6+701854 ,10.63,11.06,27.33
V0344 Tel  ,195413.5-492742 ,8.6,9,27.4
V0502 Mon  ,064326.2-022950 ,12.2,13.2,    27.43        :  
V1765 Ori  ,053601.8-043417 ,12.31,-0.05,27.55
CF    Scl  ,003307.3-320119 ,9.78,10.1,27.6
V0865 Ara  ,173411.7-482807 ,7.55,7.7,27.8
V0529 Oph  ,174156.6-281810 ,13.2,<16.5      ,27.8485
V1290 Sgr *,182137.3-323801 ,11.82,13.04,27.9516
YY    Pup *,073552.3-192331 ,9.7,11.1,27.95491
V1507 Cyg *,194841.9+292408 ,6.92,7.04,27.9705
V5282 Sgr  ,175912.3-291359 ,14.27,-0.1,28
V5213 Sgr  ,175853.4-285940 ,14.59,-0.15,28
V5353 Sgr  ,175943.3-290736 ,15.34,-0.05,28
V5224 Sgr  ,175856.6-290601 ,15.07,-0.15,28
V5309 Sgr  ,175919.7-291248 ,14.15,-0.15,28
V5251 Sgr  ,175903.5-285920 ,15.07,-0.15,28
V5400 Sgr *,180256.9-295552 ,15.71,-0.15,28
QS    Pav  ,194127.2-722001 ,13.8,15.4,    28.          :  
V1755 Aql  ,190732.3+041905 ,14.07,14.22,    28.          :  
V0830 Sco  ,175338.7-440340 ,13.4,13.9,    28.          :  
DV    Sco  ,165027.9-280758 ,14.5,<16.5      ,    28.          :  
QR    Cyg  ,195731.1+382746 ,13.4,14.7,    28.0          /N
FH    Pup  ,080759.0-243611 ,15.5,<16.       ,    28.0          /N
V0564 Sgr *,180207.7-342938 ,13.3,13.82,28.11
RY    Vel *,102041.0-551917 ,7.86,8.89,28.1357
V2531 Sgr  ,182054.7-263351 ,14.1,15.7,28.14
QX    Tel  ,182317.8-532536 ,8.62,8.78,28.3
AP    Pic  ,063356.8-624944 ,8.92,9.16,28.4
V0742 Sco  ,175218.4-344639 ,14,14.6,28.456
V5372 Sgr  ,180237.9-295934 ,14.78,-0.15,28.5
V0360 Cam  ,043023.2+550409 ,11.7,11.9,28.5
V5486 Sgr  ,180336.0-295858 ,15.83,-0.1,28.5
V1711 Sgr *,200108.0-303039 ,10.43,11.06,28.556
TW    Cap *,201428.4-135008 ,9.95,11.28,28.6101
V0446 Sco *,175820.2-361544 ,12.86,13.7,28.6195
V0386 Cas  ,005911.3+555720 ,14,16.5,28.652245
KQ    Sco *,165138.5-452536 ,9.34,10.29,28.6896
PV    Aps *,151128.5-732534 ,7.8,8.3,28.877
AA    Oct  ,194748.3-762310 ,15.1,15.8,29
V5262 Sgr  ,175906.5-290529 ,14.87,-0.15,29
VV    Mus  ,121331.4-651733 ,13,<14.       ,29
PW    Cam  ,035624.6+651614 ,10.6,10.8,29
V5460 Sgr  ,180326.5-300702 ,16.02,-0.15,29
V0923 Cyg  ,193810.8+313457 ,12.2,14,    29.          :  
V0480 Cyg  ,195226.9+343641 ,10.5,11.1,    29.          :  
nu.   Her *,175830.1+301121 ,4.38,4.48,    29.          :  
V1162 Cas *,020831.9+680615 ,11.06,11.78,29.067
V1300 Sco *,170458.4-383706 ,8.87,9.03,29.3467
V0472 Vul  ,193709.2+195352 ,14.5,<16.6      ,29.361
V1396 Sco  ,170059.3-443726 ,16.28,16.5,    29.49        :  
V0541 Oph *,173735.4-234905 ,14,15.6,29.533
V1500 Sgr  ,180423.1-300023 ,17.9,18.5,    29.6         :  
SW    Nor *,154911.3-585940 ,10.5,12,29.6349
V1670 Sgr *,183025.9-234354 ,12.9,15.5,29.6576
PP    Lup *,155524.2-415530 ,8.67,9.06,29.6924
V5489 Sgr  ,180340.2-295532 ,13.35,-0.2,29.7
V5433 Sgr  ,180309.9-300139 ,14.51,-0.1,29.7
CV    Ser  ,181907.4-113759 ,9,9.63,29.7005
V0484 Sct *,184916.1-101330 ,9.15,9.24,29.717
V0431 Peg  ,212812.9+075227 ,12.6,13.3,    29.7822      :  
V1809 Ori  ,052753.9+113701 ,8.9,9.2,29.9
V1738 Ori  ,053527.9-044503 ,11.83,-0.04,    29.99        :  
KQ    Oph *,171612.8-282749 ,13.3,15.2,30
V0383 Nor  ,153551.7-501721 ,8.18,8.5,30
NW    Pav *,181334.6-651413 ,11.4,13,30
psi   Phe *,015338.7-461810 ,4.3,4.5,30
DM    Eri *,044026.5-194017 ,4.28,4.36,30
V5204 Sgr  ,175850.4-290315 ,14.73,-0.15,30
V5263 Sgr  ,175907.2-291243 ,15.12,-0.15,30
LQ    Del  ,204249.5+191107 ,8.75,9.25,    30.          :  
omi 1 Ori  ,045232.0+141502 ,4.65,4.88,    30.          :  
TV    Hor  ,023015.6-574834 ,6.74,6.89,    30.          :  
BG    Mon  ,065622.8+070440 ,9.2,10.4,    30.          :  
KS    Per *,044853.3+431632 ,7.6,-0.25,    30.          :  
V1775 Aql  ,190757.8+041043 ,13.04,13.18,    30.          :  
IW    Aps  ,165213.2-755738 ,11.6,12,    30.          :  
V3797 Sgr  ,181439.6-185442 ,13.4,14.4,    30.          :  
DQ    Eri  ,042015.3-023743 ,6.84,7.05,    30.          :  
V1206 Cyg  ,204515.5+343730 ,18,19,    30.03         /N
AQ    Pup *,075822.1-290748 ,8.08,9.39,30.104
BB    Cep *,225530.2+640031 ,12.1,13.2,30.1856
AU    Ant  ,102634.7-344203 ,8.3,8.64,30.3
V0712 Sco *,175446.7-301124 ,13.8,14.3,30.305
CQ    Sco *,174954.9-401953 ,11.94,13,30.447
V2510 Sgr *,181626.2-315105 ,13.7,15.4,30.48
V0694 Lyr  ,192030.8+375055 ,13.79,13.87,30.52
V0735 Sco *,174636.6-335912 ,14.4,15.1,30.523
V2765 Oph  ,180328.5+011631 ,11.5,12,30.6
V0527 Ser  ,173513.1-101512 ,13.2,14.3,30.7448
V0493 Sct *,182836.7-125951 ,8.32,  8.74 :   ,30.811
KQ    CrA *,175934.5-393507 ,11.92,12.91,30.864
NN    Vul  ,192954.0+251457 ,13.82,15,30.87
FY    Mon  ,064708.6+031533 ,13.4,14.2,    30.933        /N
V5266 Sgr  ,175907.9-285828 ,15.07,-0.25,31
V5180 Sgr  ,175842.5-290241 ,14.01,-0.15,31
V5283 Sgr  ,175912.6-290610 ,15.02,-0.25,31
V5191 Sgr  ,175846.8-290720 ,16.87,-0.1,31
V5323 Sgr  ,175923.8-290954 ,14.94,-0.2,31
V5192 Sgr  ,175846.9-290334 ,15.1,-0.15,31
V1176 Cen *,132301.8-622632 ,10.09,10.36,31.029
V0536 Mon  ,071355.6-025430 ,9.1,10.1,    31.035        /N
V0609 Cyg  ,212656.0+542929 ,12.2,13.6,31.072
V0620 And  ,231253.3+450603 ,12.73,13,31.1
V0654 And  ,232510.6+484444 ,10.7,10.9,    31.1         :  
V2508 Cyg  ,193910.0+405215 ,10.3,10.5,31.2
KX    Cnc *,084246.2+315145 ,7.25,( 0.71   I),31.21985
UZ    Cyg *,215914.3+442135 ,10.23,12.11,31.305809
IU    Cyg *,195008.2+340957 ,12.95,14.08,31.31451
MP    Lac *,222349.0+495832 ,12.3,13.7,31.3957
V0891 Mon  ,074118.6-013230 ,8.12,8.33,31.4204
V2526 Sgr *,182021.3-293344 ,13.5,14.4,31.45
AF    Crt  ,114948.0-081720 ,11.2,11.8,31.5
V0450 Tau  ,045156.7+291111 ,14.9,16.5,31.5
RR    Mic *,211549.3-431140 ,11.01,11.86,31.52
V1816 Sgr  ,180637.2-302204 ,14.7,<15.2      ,31.583
V0995 Sgr  ,175947.0-295721 ,13.5,14.4,31.706
V1336 Cyg *,212348.5+452923 ,15.1,16,    31.77        :  
AK    Vol  ,074923.1-654927 ,8.54,8.65,31.808
V0997 Sgr  ,180005.1-294853 ,13.8,14.6,31.824
V5504 Sgr  ,180352.9-300159 ,14.9,-0.15,31.9
CF    Sct *,184827.9-082212 ,13.4,15,31.9415
CU    CrB  ,162157.2+381734 ,10.2,10.4,31.977
V0363 Cam  ,043442.0+554232 ,11,11.4,32
AC    Ari  ,020817.0+244909 ,7.08,7.28,32
V1909 Sgr  ,183407.0-210911 ,12.5,15.8,    32.          :  
AF    Scl  ,230724.6-253544 ,8.71,9.15,    32.          :  
V0506 Mon  ,064636.5-035012 ,13.3,14,    32.000        /N
V1281 Aql *,194319.2-002133 ,14.3,15,32.05
V0658 Car  ,103847.3-584332 ,9.08,9.37,32.186
V0446 Cam  ,063218.0+700816 ,11.25,11.4,32.2
V5499 Sgr  ,180350.1-300315 ,14.55,-0.1,32.3
RX    Cas *,030745.8+673439 ,8.64,9.49,32.31211
RV    Nor *,160410.2-560448 ,12.2,13.8,32.333
V2474 Cyg *,201046.2+334805 ,10.97,11.27,32.34
V1761 Aql  ,190743.8+041903 ,13.92,14.08,    32.4         :  
FY    Aur  ,055512.2+284338 ,15.1,16.5,32.6379
SZ    Mon *,065127.8-012216 ,9.66,10.75,32.685
V0653 And  ,232507.6+482503 ,11.34,11.56,32.8
SX    Cen *,122112.6-491241 ,9.6,12.5,32.8642
V0394 Aur *,060622.4+293045 ,6.01,6.11,32.896
V5453 Sgr  ,180324.4-300416 ,14.41,-0.15,33
V5287 Sgr  ,175913.8-290704 ,14.98,-0.15,33
V5248 Sgr  ,175902.9-290139 ,15.07,-0.25,33
V0447 Peg  ,213830.9+272209 ,10.4,10.9,33
V5212 Sgr  ,175853.1-290423 ,15.74,-0.3,33
V5208 Sgr  ,175851.3-290206 ,16.24,-0.1,33
V0396 Cyg  ,201612.7+420632 ,12.6,14.6,33.247
ST    Hyi *,014032.2-743026 ,12.58,13.7,33.326668
V0495 Cen *,130134.8-560531 ,10.4,11.9,33.4871
V0383 Ser *,155519.1+160240 ,8.68,-0.03,33.52
VX    Sct *,183359.7-115458 ,13.6,14.2,33.623
V0650 Lyr  ,182714.3+302210 ,10.8,11,33.6579
FY    Vel *,083223.4-493605 ,6.84,7.06,33.72
HX    Nor  ,162728.2-514010 ,12.3,12.9,33.754
OT    Aqr  ,222913.3-090254 ,9.6,10.1,33.8
V0425 Cam  ,060927.4+792547 ,12.13,12.33,33.8
V1037 Sgr  ,185625.2-191623 ,13.6,15.2,33.8
V1337 Her  ,182319.1+241616 ,12.6,12.9,33.861
AT    Cru *,120349.4-641605 ,12.4,13.5,33.925
KU    Hya *,092250.9-095020 ,6.51,6.53,33.97
V5411 Sgr  ,180301.6-300001 ,15.63,-0.25,34
KN    Cen *,133636.9-643330 ,9.28,10.36,34.0457
V0567 Sco *,164950.7-405506 ,12.21,13.31,34.0483
RV    Aps  ,142417.0-731727 ,10.6,15.2,34.074
V0532 Sgr  ,175850.8-350531 ,13.3,14.44,34.183
V0473 Vel  ,085405.1-453945 ,11.35,11.62,34.25
DV    TrA *,163925.4-643110 ,13.2,16.1,34.3
LV    Aqr  ,235241.4-162229 ,7.53,7.75,34.32
EZ    Vel  ,092507.4-531236 ,13.4,14.96,34.5346
V0411 Ser  ,181224.7-104353 ,8.4,8.55,34.536
UY    Ari  ,020549.1+172935 ,9.75,10.19,34.6
V0832 Ara *,180700.3-481450 ,7.08,7.16,34.6
FH    Psc  ,002203.5+130335 ,10.05,10.26,34.62
DG    Car  ,111208.9-611424 ,11.3,13.3,34.7247
V2649 Cyg  ,214742.2+304211 ,10.25,( 0.11   *),34.7828
V0923 Sco *,170350.9-380909 ,5.86,6.24,34.8269
V0540 Cas *,020330.5+693456 ,7.73,7.75,34.9
SY    And *,001316.4+434241 ,10.7,12.2,34.90847
TX    Aql  ,200637.5+035146 ,10,10.8,35
V4028 Sgr  ,182131.4-245455 ,6.1,6.38,    35.          :  
BC    CMi  ,075207.2+031638 ,6.14,6.42,    35.          :  
V1339 Cyg  ,214208.4+454557 ,5.9,7.1,    35.          :  
NP    Cam  ,060205.2+725105 ,11.1,11.9,35
CK    Vel *,103730.8-560742 ,10,10.6,    35.009        /N
GH    Psc  ,005707.7+102557 ,10,10.2,35.11
AU    Cru  ,120656.0-592127 ,12.4,13.7,35.2
V0641 Cen  ,143907.9-595009 ,9.96,10.86,35.216
khi   Aqr  ,231650.9-074335 ,4.75,5.1,    35.250       :  
EI    Boo  ,144306.9+425407 ,8.89,9.11,35.32
l     Car  ,094514.8-623028 ,3.28,4.18,35.53584
RU    Ind *,214822.8-544544 ,11.3,12.1,35.54
V5493 Sgr  ,180345.3-300133 ,14.82,-0.15,35.6
GZ    Nor  ,163154.2-553307 ,13.1,14.36,35.942
DF    Eri  ,041307.2-363242 ,8.21,8.33,36
V5393 Sgr  ,180252.6-295458 ,15.76,-0.2,36
V5245 Sgr  ,175901.8-290532 ,15.22,-0.2,36
V5396 Sgr  ,180253.8-295425 ,14.48,-0.15,36
V5267 Sgr  ,175908.2-290730 ,13.42,-0.2,36
V5241 Sgr  ,175900.8-291240 ,15.4,-0.2,36
V5406 Sgr  ,180258.7-295222 ,13.57,-0.08,36
V5407 Sgr  ,180258.8-300109 ,14.87,-0.25,36
V5186 Sgr  ,175845.5-290358 ,15.75,-0.15,36
V5234 Sgr  ,175858.4-290846 ,15.71,-0.25,36
MT    Lac  ,222445.7+545134 ,11.6,12,    36.          :  
V1809 Aql  ,192944.9+032554 ,12.4,13,    36.175       :  
V5211 Sgr  ,175853.0-290833 ,14.16,14.44,36.3
V0686 Ara  ,164748.2-595210 ,12.7,14.1,36.3
VX    Cnc  ,080254.0+185940 ,11.1,11.7,36.4
V0491 And  ,003019.9+411040 ,10.5,10.9,36.5
EN    TrA *,145700.7-685023 ,8.7,9.1,36.54
SX    Cas *,001042.1+545329 ,8.96,9.83,36.56375
CY    CMi  ,071610.3+095948 ,8.11,8.26,36.8
V5474 Sgr  ,180331.7-300044 ,13.03,-0.06,37
U     Vel  ,093313.2-453054 ,7.87,8.19,37
V5188 Sgr  ,175845.8-290328 ,14.43,-0.12,37
V5187 Sgr  ,175845.8-291035 ,15.43,-0.1,37
V5416 Sgr  ,180304.8-295259 ,15.29,-0.15,37
V1375 Sco  ,170021.3-444543 ,17, 19.   :   ,    37.02        :  
V0472 Peg  ,215406.8+342837 ,10.5,10.8,37.0918
V0400 Lup  ,160722.8-295712 ,12.6,13.6,37.145
HL    Leo  ,114347.0+240037 ,7.4,-0.06,37.17
AZ    Cru  ,121131.6-614613 ,11.8,13.1,37.2
TT    Nor *,155802.5-542445 ,12.6,12.9,37.246
V0605 And  ,230729.2+442950 ,10.15,10.4,37.31
V1192 Cas  ,233630.5+632729 ,10.8,11,37.4
V1004 Sgr *,180103.9-312346 ,12.56,13.41,37.6375
EU    Pup *,075727.0-191527 ,14.4,15.2,37.7017
V0409 Cyg  ,211102.3+494204 ,13.3,14.8,37.726
V1770 Aql  ,190749.0+041252 ,14.64,14.79,    37.8         :  
V0527 Aur  ,050207.9+380142 ,13.4,14.1,    37.9         :  
AY    Men  ,073458.5-765747 ,10.8,11.8,38
V5302 Sgr  ,175918.1-290124 ,12.64,-0.45,38
KO    Eri  ,043538.9-040554 ,10.3,11.3,38
EU    Vir  ,141222.3-184446 ,9.01,9.19,38
UW    Gem  ,064214.8+131904 ,15.5,17.5,    38.          :  
V0729 Ara *,170736.6-481909 ,10,11.5,38
V0408 Gem  ,065007.3+163025 ,11.53,11.9,38.044
HZ    Car  ,104611.9-600035 ,14.6, 16.   :   ,38.35941
KU    Cyg *,201245.1+472341 ,10.73,12.38,38.4393
V2641 Oph  ,173357.2-203024 ,12.9,13.8,38.518
CM    Per *,020511.2+571225 ,12.5,13.4,38.6365
EZ    Aql *,193929.7+083628 ,11.1,14,38.64
EV    Aql *,190646.2+145546 ,12.4,13.9,38.767
U     Car *,105748.2-594356 ,5.72,7.02,38.7681
TU    Lyn  ,063102.7+611429 ,11.4,11.8,38.9461
V5327 Sgr  ,175925.5-290038 ,13.78,-0.15,39
V5181 Sgr  ,175842.6-290340 ,16.31,-0.25,39
EZ    Vir  ,142104.1-185932 ,7.77,7.97,39
V0926 Mon  ,070206.7-034517 ,6.5,6.7,    39.          :  
V1791 Aql  ,190812.3+040819 ,15.4,15.8,39
V1208 Cyg  ,204627.5+324934 ,18,19.5,    39.00         /N
V5444 Sgr  ,180320.3-300040 ,13.47,-0.15,39.1
V1245 Her  ,170706.3+202922 ,10,10.3,39.1844
RZ    Eri *,044345.8-104056 ,7.7,8.72,39.28238
eps   UMi *,164558.2+820214 ,4.19,4.23,39.4809
V0825 Ara *,174010.8-534734 ,12.3,13.5,39.6
V2559 Cyg  ,205050.8+410947 ,11.92,12.62,39.6
V0669 Lyr  ,184706.3+434035 ,10.8,11,39.637
V1663 Ori  ,053331.1-052523 ,13.07,-0.07,    39.96        :  
V0667 Car  ,105244.3-581039 ,10,10.5,40
eps   Mus  ,121734.3-675739 ,3.99,4.31,40
V5435 Sgr  ,180311.9-295902 ,12.74,-0.05,40
V0592 Cen *,130830.5-592302 ,11.6,12.8,40
WZ    Dor  ,050734.0-632359 ,5.2,( 0.12 :  ),40
V5469 Sgr  ,180330.0-295822 ,13.3,-0.25,40
BP    Cnc  ,082643.9+123917 ,5.41,5.75,    40.          :  
V0693 Her  ,162324.4+181327 ,13.9,15.5,    40.          :  
V0973 Cyg  ,194449.0+404300 ,7.75,8.6,    40.          :  
FK    Vir  ,122411.5+055818 ,7.5,7.78,    40.          :  
KP    Aps  ,171022.4-732605 ,12.6,13.4,    40.          :  
CD    CrB  ,160533.4+291240 ,9.76,9.98,    40.          :  
DN    Lyr *,185907.3+293944 ,14,14.9,    40.          :  
V0832 Sco  ,175354.6-372557 ,12.7,13.7,    40.          :  
V1743 Cyg  ,193341.6+491544 ,5.96,-0.18,    40.          :  
V0383 Sge  ,201514.4+185326 ,12.45,12.75,    40.          :  
FX    CMa  ,072703.9-114314 ,8.56,8.86,    40.          :  
V0949 Cyg *,194123.0+514247 ,14.9,15.5,    40.          :  
GK    Sct  ,184529.1-075227 ,14.9,<16.4      ,    40.          :  
FP    Vir  ,133552.1+081734 ,6.72,7.35,    40.          :  
KL    Aps  ,170324.4-734856 ,13.5,14,    40.          :  
V1135 Her *,183213.0+121704 ,12.65,13.05,40
TX    Tau  ,040811.8+263554 ,10.5,12.3,40.1
V0617 Cen *,135051.3-574814 ,13.6,14.4,40.154
V0424 Gem  ,071650.4+214500 ,9.8,10.2,40.35
V0395 Cyg  ,200839.6+440338 ,7.9,8.62,40.5
BT    Lac *,222413.8+561134 ,12.8,15.7,40.5
V1980 Sgr *,182524.5-251040 ,11.2,11.8,40.506
V0399 Hya  ,082654.8-061211 ,7.59,-0.02,    40.87        :  
V1320 Cyg  ,202122.2+391958 ,15.9,<18.5      ,40.9
YY    Leo  ,100820.0+200013 ,10.5,11.4,40.9
V5425 Sgr  ,180307.3-300256 ,13.29,-0.25,41
V5222 Sgr  ,175855.5-291208 ,15.37,-0.25,41
V5334 Sgr  ,175927.8-291040 ,14.85,-0.3,41
V5274 Sgr  ,175909.4-290826 ,14.23,-0.2,41
V5537 Sgr  ,182612.7-260539 ,10.9,11.5,41
RS    Pup *,081304.2-343443 ,6.52,7.67,41.3876
AI    Ari  ,023500.5+222758 ,10,10.6,41.4
BP    Cru *,122637.6-624613 ,10.83,-0.07,41.51
V1746 Aql  ,190722.4+041443 ,15.1,15.4,41.6058
V1319 Cyg  ,202051.1+390046 ,12.2,14.6,41.87
V5381 Sgr  ,180243.3-295615 ,15.02,-0.25,42
V5402 Sgr  ,180257.4-300354 ,12.77,-0.1,42
TV    UMa  ,114535.0+355340 ,6.75,7.34,42
V5375 Sgr  ,180240.0-295822 ,13.87,-0.15,42
V1095 Aql *,200805.5+151644 ,12.3,13.4,42.24
V0373 CMa  ,064633.0-191918 ,11.8,12.8,42.5
V0343 Sct  ,185727.9-095242 ,15.4,17.1,    42.5         :  
V1068 Cyg *,212033.1+421639 ,10.5,12.1,42.6813
V1244 Tau  ,034906.3+253523 ,10.7,11.2,42.9
V5401 Sgr  ,180257.1-295201 ,14.54,-0.1,43
V5278 Sgr  ,175910.7-290709 ,13.87,-0.25,43
FK    Lyr *,191025.4+273924 ,11.3,12.1,43
DK    Hyi  ,030841.8-754724 ,10.4,12,43
V5249 Sgr  ,175903.0-291206 ,13.94,-0.15,43
V1039 Cas  ,003026.4+684259 ,10,10.3,43
V5431 Sgr *,180309.3-295244 ,13.71,-0.2,43
V0659 And  ,232737.9+474802 ,10.6,10.8,    43.          :  
